Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Agressive_Target,Predicted_Agressive_Target,Actual_Profit,Actual_Aggressive_profit,PAT_Profit_100,PAT_D_Profit_100,PAT_Loss_100,Target_Predicted_Aggressive_100_Defence_Target,PAT_Profit_Timestamp_100,PAT_D_Profit_Timestamp_100,PAT_Loss_Timestamp_100,Actual_Loss,PAT_Profit_Duration,PAT_D_Profit_Duration,PAT_Loss_Duration
9/3/2024 5:20,5689.75,5695,5689.5,5693.75,5658,5616.5,5614.75,5614,5613.25,5687.75,5689.5,5690.5,5693.75,5714,0,5693.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 5:35,5693.75,5696.5,5693.25,5695.5,5658,5616.5,5614.75,5614,5613.25,5687.75,5689.5,5690.5,5693.25,5693.75,5695.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 6:15,5694,5694.75,5691.5,5694.25,5658,5616.5,5614.75,5614,5613.25,5687.75,5689.5,5690.5,5691.5,5693.25,0,5694.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 6:40,5693.75,5697.5,5692.25,5695.5,5658,5616.5,5614.75,5614,5613.25,5687.75,5689.5,5690.5,5691.5,5692.25,5695.5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0
9/3/2024 7:05,5688.75,5690.75,5687.5,5690.75,5658,5616.5,5614.75,5614,5613.25,5687.5,5687.75,5689.5,5690.5,5691.5,0,5690.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 7:20,5687.5,5689.75,5686,5689.75,5658,5616.5,5614.75,5614,5613.25,5686,5687.5,5687.75,5689.5,5690.5,0,5689.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 7:25,5690,5693.75,5689,5692.75,5658,5616.5,5614.75,5614,5613.25,5686,5687.5,5687.75,5689,5689.5,5692.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 7:45,5678.75,5681.25,5674.75,5679.5,5658,5616.5,5614.75,5614,5613.25,5674.75,5686,5687.5,5687.75,5689,0,5679.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 8:00,5666.75,5674.75,5664.5,5673,5658,5616.5,5614.75,5614,5613.25,5664.5,5674.75,5686,5687.5,5687.75,0,5673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 8:10,5656.25,5659.5,5651.5,5658,5658,5616.5,5614.75,5614,5613.25,5651.5,5664.5,5674.75,5686,5687.5,0,5658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
